  02,  03,  05,  08,  09,  11,  21,  22,  24,  26,  28,  31,  32,  33,  34,  38,  61,  62,  67,  68,  81,  82,  84, prio02, prio03, prio05, prio08, prio09, prio11, hd02, hd03, hd05, hd08, hd09, hd11, uswtv24,
 466, 882,   0, 506,   0,   0,   0,   0,   0,   0, 477,   0,   0, 297, 297, 477,   0,   0,   0,   0,   0, 826, 297,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 190, 399,   0,  23,   0,   0,   0,   0,   0,   0, 103,   0,   0, 157, 157, 103,   0,   0,   0,   0,   0, 470, 157,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 180, 390,   0,  14,   0,   0,   0,   0,   0,   0,  45,   0,   0, 147, 147,  45,   0,   0,   0,  44, 364, 460, 147,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 170, 380,   0,   4,   0,   0,   0,   0,   0,   0,  35,   0,   0, 137, 137,  35,   0,   0,   0,  34, 354, 450, 137,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 160, 372,   0,   0,   0,   0,   0,   0,   0,   0,  25,   0,   0, 127, 127,  25,   0,   0,   0,  24, 346, 440, 127,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 150, 362,   0,   0,   0,   0,   0,   0,   0,   0,  15,   0,   0, 118, 118,  15,   0,   0,   0,  14, 336, 430, 118,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 140, 352,   0,   0,   0,   0,   0,   0,   0,   0,   5,   0,   0, 108, 108,   5,   0,   0,   0,   4, 326, 420, 108,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 130, 342,   0,   0,   0,   0,   0,  -3,   0,   0,   0,   0,  -3,  98,  98,   0,   0,   0,   0,   0, 316, 410,  98,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 120, 333,   0,   0,   0,   0,   0, 537,  67,   0,   0, 569, 537,  67,  67,   0,   0,   0,   0,   0, 307, 400,  67,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 110, 323, 601,   0,   0,   0,   0, 527,  57,   0,   0, 559, 527,  57,  57,   0,   0,   0,   0,   0, 297, 390,  57,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  46, 313, 547,   0,   0,   0,   0, 517,  47,   0,   0, 549, 517,  47,  47,   0,   0,   0,   0,   0, 287, 326,  47,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  36, 303, 537,   0,   0,   0,   0, 507,  37,   0,   0, 539, 507,  37,  37,   0,   0,   0,   0,   0, 277, 316,  37,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  27, 252, 518,   0,   0,   0,   0, 456,  27,   0,   0, 488, 456,  27,  27,   0,   0,   0,   0,   0, 110, 307,  27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  17, 242, 508,   0,   0,   0,   0, 446,  17,   0,   0, 478, 446,  17,  17,   0,   0,   0,   0,   0, 101, 297,  17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   7, 232, 498,   0,   0,   0,   0, 436,   7,   0,   0, 468, 436,   7,   7,   0,   0,   0,   0,   0,  91, 287,   7,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 224, 490,   0,   0,   0,   0, 428,   0,   0,   0, 460, 428,   0,   0,   0,   0,   0,   0,   0,  81, 279,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 214, 480,   0,   0,   0,   0, 418,   0,   0,   0, 450, 418,   0,   0,   0,   0,   0,   0,   0,  26, 269,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 204, 470,   0,   0,   0,   0, 408,   0,   0,   0, 440, 408,   0,   0,   0,   0,   0,   0,   0,  16, 259,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 194, 460,   0,   0,   0,   0, 398,   0,   0,   0, 430, 398,   0,   0,   0,   0,   0,   0,   0,   6, 249,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 184, 450,   0,   0,   0,   0, 388,   0,   0,   0, 420, 388,   0,   0,   0,   0,   0,   0,   0,   0, 239,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 174, 441,   0,   0,   0,   0, 378,   0,   0,   0, 410, 378,   0,   0,   0,   0,   0,   0,   0,   0, 230,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 165, 431,  -3,   0,   0, 365, 369,   0,   0,   0, 401, 369,   0,   0,   0,   0,   0,   0,   0,   0, 220,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  61, 421,  -3,   0,   0, 261, 265,   0,   0,   0, 297, 265,   0,   0,   0,   0,   0,   0,   0,   0, 210,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  52, 411,  -3,   0,   0, 252, 256,   0,   0,   0, 288, 256,   0,   0,   0,   0,   0,   0,   0,   0, 200,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  42, 401,  -3,   0,   0, 242, 246,   0,   0,   0, 278, 246,   0,   0,   0,   0,   0,   0,   0,   0, 190,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  32, 391,  -3,   0, 704, 232, 236,   0,   0,   0, 268, 236,   0,   0,   0,   0,   0,   0,   0,   0, 180,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  22, 256, 817,   0, 569, 222, 226,   0,   0,   0, 258, 226,   0,   0,   0,   0,   0,   0,   0,   0,  24,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  13, 247, 808,   0, 560, 213, 217,   0,   0,   0, 249, 217,   0,   0,   0,   0,   0,   0,   0,   0,  14,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   4, 238, 799,   0, 551, 204, 208,   0,   0,   0, 240, 208,   0,   0,   0,   0,   0,   0,   0,   0,   4,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0, 230, 791,   0, 543, 196, 201,   0,   0,   0, 232, 201,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,   0, 220, 781,   0, 533, 186, 191,   0,   0,   0, 222, 191,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 731,   0, 210, 771,   0, 523, 176, 181,   0,   0,   0, 212, 181,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 721,   0, 200, 761,   0, 513, 166, 171,   0,   0,   0, 202, 171,   0,   0,   0,   0,   0,   0,   0,   0,   0, 546,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 688,   0, 167, 728,   0, 480,  10,  15,   0,   0,   0,  46,  15,   0,   0,   0,   0,   0,   0,   0,   0,   0, 513,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 678,   0, 157, 718,   0, 470,   1,   6,   0,   0,   0,  37,   6,   0,   0,   0,   0,   0,   0,   0,   0,   0, 503,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 546,   0,  25, 586,   0, 338,   0,   0,   0,   0,   0,  27,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 371,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 536,   0,  15, 576,   0, 328,   0,   0,   0,   0,   0,  17,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 361,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 526,   0,   5, 566,   0, 318,   0,   0,   0,   0,   0,   7,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 351,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 513,   0,   0, 553,   0, 305,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 344,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 503,   0,   0, 543,   0, 295,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 334,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 493,   0,   0, 533,   0, 285,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 324,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 483,   0,   0, 523,   0, 275,   0,   0,   0,   0,   0,   0,   0,   0, 314,   0,   0,   0,   0,   0,   0,   0, 314,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 474,   0,   0, 514,   0, 266,   0,   0,   0,   0,   0,   0,   0,   0, 305,   0,   0,   0,   0,   0,   0,   0, 305,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 464,   0,   0, 504,   0, 256,   0,   0,   0,   0,   0,   0,   0,   0, 295,   0,   0,   0,   0,   0,   0,   0, 295,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 454,   0,   0, 494,   0, 246,   0,   0,   0,   0,   0,   0,   0,   0, 285,   0,   0,   0,   0,   0,   0,   0, 285,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 444,   0,   0, 484,   0, 236,   0,   0,   0,   0,   0,   0,   0,   0, 275,   0,   0,   0,   0,   0,   0,   0, 275,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 336,   0,   0, 376,   0, 128,   0,   0,  56,   0,   0,   0,   0,   0,  56,   0,   0,   0,   0,   0,   0,   0,  56,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     31,
 326, 742,   0, 366,   0, 118,   0,   0,  47,  35,   0,   0,   0,  47,  47,   0,   0,   0,   0,   0,   0,   0,  47,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     26,
 316, 732,   0, 356,   0, 108,   0,   0,  37,  25,   0,   0,   0,  37,  37,   0,   0,   0,   0,   0,   0,   0,  37,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     21,
 307, 723,   0, 347,   0,  99,   0,   0,  27,  15,   0,   0,   0,  27,  27,   0,   0,   0,   0,   0,   0,   0,  27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     16,
 297, 713,   0, 337,   0,  89,   0,   0,  17,   5,   0,   0,   0,  17,  17,   0,   0,   0,   0,   0,   0,   0,  17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     11,
 287, 703,   0, 327,   0,  79,   0,   0,   7,   0,   0,   0,   0,   7,   7,   0,   0,   0,   0,   0,   0,   0,   7,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      6,
 277, 693, 927, 317,   0,  69,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  92, 307,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 268, 684, 918, 308,   0,  60,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  82, 298,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 258, 674, 908, 298,   0,  50,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  72, 288,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 248, 664, 898, 288,   0,  40,   0,   0,   0,   0,   0,   0,   0,   0,   0, 259,  62, 278,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
